# Minitial =  1.00 msun, Z = 0.0200, Mfinal = 0.564 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    p32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p34     34   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32   2.6338967E-08  2.6808420E-04  2.6805786E-04  3.9657427E-04  3.9657217E-04  2.2779593E-06
    s33     33   2.1691449E-10  2.1822423E-06  2.1820254E-06  3.2281691E-06  3.2281480E-06  2.8474474E-06
    s34     34   1.2456439E-08  1.2653500E-04  1.2652254E-04  1.8718195E-04  1.8718094E-04  2.3815026E-06
    s35     35   7.7321483E-20  7.7321483E-20  0.0000000E+00  1.1438089E-19  0.0000000E+00  0.0000000E+00
   fe54     54   4.8203219E-09  4.8301517E-05  4.8296697E-05  7.1451948E-05  7.1451461E-05  2.9509904E-06
   fe55     55   3.2336937E-18  3.2336937E-18  0.0000000E+00  4.7835706E-18  0.0000000E+00  0.0000000E+00
   fe56     56   7.8405719E-08  7.9198042E-04  7.9190201E-04  1.1715686E-03  1.1715617E-03  2.5885893E-06
   fe57     57   1.9426807E-09  1.9342118E-05  1.9340176E-05  2.8612601E-05  2.8612385E-05  3.2616199E-06
   fe58     58   2.4897417E-10  2.5046779E-06  2.5044289E-06  3.7051448E-06  3.7051209E-06  2.7956755E-06
   fe59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   fe61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   2.2441782E-10  2.2749675E-06  2.2747431E-06  3.3653366E-06  3.3653175E-06  2.4850458E-06
   co60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co61     61   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni58     58   3.3069227E-09  3.3493936E-05  3.3490629E-05  4.9547241E-05  4.9546954E-05  2.5368174E-06
   ni59     59   6.3815597E-28  6.3815597E-28  0.0000000E+00  9.4401767E-28  0.0000000E+00  0.0000000E+00
   ni60     60   1.3105819E-09  1.3265221E-05  1.3263911E-05  1.9623109E-05  1.9622994E-05  2.5368174E-06
   ni61     61   1.6668334E-06  2.2489769E-06  5.8214351E-07  3.3268889E-06  8.6123907E-07  5.8691460E-01
   ni62     62  -1.6939141E-06  1.8661309E-07  1.8805272E-06  2.7605486E-07  2.7821034E-06 -1.0033779E+00
# Minitial =  1.50 msun, Z = 0.0200, Mfinal = 0.600 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      g      1   2.6433543E-08  7.7500637E-08  5.1067094E-08  8.6111818E-08  5.6745975E-08  1.8112770E-01
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.2831986E-02  6.0623962E-01  6.1907160E-01  6.7359960E-01  6.8791503E-01 -9.1329813E-03
      d      2   3.9741024E-18  3.9741024E-18  0.0000000E+00  4.4156696E-18  0.0000000E+00  0.0000000E+00
    he3      3   3.1066535E-04  3.1066535E-04  0.0000000E+00  3.4518374E-04  0.0000000E+00  0.0000000E+00
    he4      4   1.2394428E-02  2.7616647E-01  2.6377204E-01  3.0685163E-01  2.9310462E-01  1.9905759E-02
    li7      7   1.3727897E-09  3.0515988E-09  1.6788091E-09  3.3906653E-09  1.8655000E-09  2.5948972E-01
    be7      7   4.3489181E-13  4.3489181E-13  0.0000000E+00  4.8321313E-13  0.0000000E+00  0.0000000E+00
     b8      8   2.0495579E-25  2.0495579E-25  0.0000000E+00  2.2772866E-25  0.0000000E+00  0.0000000E+00
    c12     12  -8.0089900E-04  1.9305469E-03  2.7314459E-03  2.1450522E-03  3.0351942E-03 -1.5074864E-01
