                          6.5M Z=0.001 VW93  
Species    Yield      MassExp     ProdFact    E-Yield    E-MassExp  E-ProdFact 
    o18   -5.760E-07  7.273E-09  -1.904E+00  -5.760E-07  7.273E-09  -1.904E+00
    f19    7.164E-09  2.224E-08   1.688E-01   1.929E-08  3.436E-08   3.578E-01
   ne20    1.722E-04  2.210E-04   6.554E-01   1.750E-04  2.239E-04   6.610E-01
   ne21   -8.081E-08  4.395E-08  -4.532E-01   7.567E-08  2.004E-07   2.059E-01
   ne22    1.189E-03  1.193E-03   2.483E+00   1.205E-03  1.209E-03   2.488E+00
   na23    2.962E-05  3.069E-05   1.456E+00   3.101E-05  3.209E-05   1.475E+00
   mg24   -7.214E-06  8.535E-06  -2.661E-01  -6.028E-06  9.720E-06  -2.096E-01
   mg25    4.788E-04  4.809E-04   2.364E+00   4.983E-04  5.004E-04   2.382E+00
   mg26    2.012E-03  2.014E-03   2.928E+00   2.099E-03  2.102E-03   2.946E+00
   al26    2.325E-05  2.325E-05   0.000E+00   2.324E-05  2.324E-05   0.000E+00
   al27    2.377E-04  2.394E-04   2.138E+00   2.394E-04  2.411E-04   2.141E+00
   si28    8.517E-05  1.052E-04   7.205E-01   8.764E-05  1.077E-04   7.305E-01
   si29    1.011E-05  1.116E-05   1.026E+00   1.062E-05  1.167E-05   1.046E+00
   si30    2.086E-05  2.158E-05   1.476E+00   2.198E-05  2.270E-05   1.498E+00
    p31    7.874E-06  8.065E-06   1.625E+00   8.281E-06  8.472E-06   1.647E+00
    s32    1.036E-06  1.524E-05   3.055E-02   1.093E-06  1.530E-05   3.216E-02
    s33    6.774E-08  1.834E-07   2.002E-01   7.123E-08  1.869E-07   2.084E-01
    s34   -1.441E-07  5.640E-06  -1.098E-02  -1.370E-07  5.647E-06  -1.043E-02
    s35    6.866E-07  6.866E-07   0.000E+00   7.128E-07  7.128E-07   0.000E+00
   fe54   -1.131E-07  2.052E-06  -2.334E-02  -1.143E-07  2.051E-06  -2.358E-02
   fe55    9.554E-09  9.554E-09   0.000E+00   9.549E-09  9.549E-09   0.000E+00
   fe56   -1.682E-06  3.382E-05  -2.110E-02  -1.701E-06  3.381E-05  -2.134E-02
   fe57   -1.823E-08  8.483E-07  -9.261E-03  -1.870E-08  8.479E-07  -9.502E-03
