#           k/h    P           
    0.16701E-03    0.63334E+00
    0.16869E-03    0.63949E+00
    0.17038E-03    0.64569E+00
    0.17209E-03    0.65195E+00
    0.17382E-03    0.65828E+00
    0.17557E-03    0.66467E+00
    0.17733E-03    0.67112E+00
    0.17912E-03    0.67763E+00
    0.18092E-03    0.68420E+00
    0.18273E-03    0.69084E+00
    0.18457E-03    0.69754E+00
    0.18643E-03    0.70431E+00
    0.18830E-03    0.71114E+00
    0.19019E-03    0.71804E+00
    0.19210E-03    0.72500E+00
    0.19403E-03    0.73203E+00
    0.19598E-03    0.73914E+00
    0.19795E-03    0.74630E+00
    0.19994E-03    0.75354E+00
    0.20195E-03    0.76085E+00
    0.20398E-03    0.76823E+00
    0.20603E-03    0.77568E+00
    0.20810E-03    0.78320E+00
    0.21019E-03    0.79080E+00
    0.21231E-03    0.79847E+00
    0.21444E-03    0.80621E+00
    0.21660E-03    0.81403E+00
    0.21877E-03    0.82192E+00
    0.22097E-03    0.82989E+00
    0.22319E-03    0.83793E+00
    0.22544E-03    0.84606E+00
    0.22770E-03    0.85426E+00
    0.22999E-03    0.86254E+00
    0.23230E-03    0.87090E+00
    0.23464E-03    0.87934E+00
    0.23699E-03    0.88787E+00
    0.23938E-03    0.89647E+00
    0.24178E-03    0.90516E+00
    0.24421E-03    0.91393E+00
    0.24667E-03    0.92279E+00
    0.24914E-03    0.93173E+00
    0.25165E-03    0.94076E+00
    0.25418E-03    0.94988E+00
    0.25673E-03    0.95908E+00
    0.25931E-03    0.96837E+00
    0.26192E-03    0.97775E+00
    0.26455E-03    0.98723E+00
    0.26721E-03    0.99679E+00
    0.26990E-03    0.10064E+01
    0.27261E-03    0.10162E+01
    0.27535E-03    0.10260E+01
    0.27811E-03    0.10360E+01
    0.28091E-03    0.10460E+01
    0.28373E-03    0.10561E+01
    0.28658E-03    0.10664E+01
    0.28947E-03    0.10767E+01
    0.29237E-03    0.10871E+01
    0.29531E-03    0.10976E+01
    0.29828E-03    0.11083E+01
    0.30128E-03    0.11190E+01
    0.30431E-03    0.11298E+01
    0.30736E-03    0.11408E+01
    0.31045E-03    0.11518E+01
    0.31357E-03    0.11629E+01
    0.31673E-03    0.11742E+01
    0.31991E-03    0.11856E+01
    0.32312E-03    0.11970E+01
    0.32637E-03    0.12086E+01
    0.32965E-03    0.12203E+01
    0.33296E-03    0.12321E+01
    0.33631E-03    0.12440E+01
    0.33969E-03    0.12561E+01
    0.34310E-03    0.12682E+01
    0.34655E-03    0.12805E+01
    0.35004E-03    0.12928E+01
    0.35355E-03    0.13053E+01
    0.35711E-03    0.13180E+01
    0.36070E-03    0.13307E+01
    0.36432E-03    0.13436E+01
