#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.882894E-05   0.631556E+07   0.631556E+07   0.841983E+07   0.841983E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.181301E-01
   0.891767E-05   0.631556E+07   0.631556E+07   0.841982E+07   0.841981E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.183124E-01
   0.900729E-05   0.631556E+07   0.631556E+07   0.841980E+07   0.841979E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.184964E-01
   0.909782E-05   0.631556E+07   0.631556E+07   0.841978E+07   0.841977E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.186823E-01
   0.918925E-05   0.631556E+07   0.631556E+07   0.841976E+07   0.841975E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.188700E-01
   0.928161E-05   0.631556E+07   0.631556E+07   0.841974E+07   0.841973E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.190597E-01
   0.937489E-05   0.631556E+07   0.631556E+07   0.841972E+07   0.841971E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.192512E-01
   0.946911E-05   0.631556E+07   0.631556E+07   0.841970E+07   0.841969E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.194447E-01
   0.956427E-05   0.631556E+07   0.631556E+07   0.841968E+07   0.841967E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.196401E-01
   0.966040E-05   0.631556E+07   0.631556E+07   0.841965E+07   0.841965E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.198375E-01
   0.975748E-05   0.631556E+07   0.631556E+07   0.841963E+07   0.841963E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.200369E-01
   0.985555E-05   0.631556E+07   0.631556E+07   0.841961E+07   0.841960E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.202383E-01
   0.995460E-05   0.631556E+07   0.631556E+07   0.841958E+07   0.841958E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.204416E-01
   0.100546E-04   0.631556E+07   0.631556E+07   0.841956E+07   0.841956E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.206471E-01
   0.101557E-04   0.631556E+07   0.631556E+07   0.841954E+07   0.841953E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.208546E-01
   0.102578E-04   0.631556E+07   0.631556E+07   0.841951E+07   0.841951E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.210642E-01
   0.103609E-04   0.631556E+07   0.631556E+07   0.841949E+07   0.841948E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.212759E-01
   0.104650E-04   0.631556E+07   0.631556E+07   0.841946E+07   0.841946E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619745E+07   0.619745E+07   0.214897E-01
   0.105702E-04   0.631556E+07   0.631556E+07   0.841944E+07   0.841943E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.217057E-01
   0.106764E-04   0.631556E+07   0.631556E+07   0.841941E+07   0.841940E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.219238E-01
   0.107837E-04   0.631556E+07   0.631556E+07   0.841938E+07   0.841938E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.221441E-01
   0.108921E-04   0.631556E+07   0.631556E+07   0.841936E+07   0.841935E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.223667E-01
   0.110015E-04   0.631556E+07   0.631556E+07   0.841933E+07   0.841932E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.225915E-01
   0.111121E-04   0.631556E+07   0.631556E+07   0.841930E+07   0.841929E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.228185E-01
   0.112238E-04   0.631556E+07   0.631556E+07   0.841927E+07   0.841926E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.230478E-01
   0.113366E-04   0.631556E+07   0.631556E+07   0.841924E+07   0.841923E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.232795E-01
   0.114505E-04   0.631556E+07   0.631556E+07   0.841921E+07   0.841920E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.235134E-01
   0.115656E-04   0.631556E+07   0.631556E+07   0.841918E+07   0.841917E+07   0.000000E+00   0.631556E+07   0.631556E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.237497E-01
   0.116818E-04   0.631555E+07   0.631555E+07   0.841915E+07   0.841914E+07   0.000000E+00   0.631555E+07   0.631555E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.239884E-01
   0.117992E-04   0.631555E+07   0.631555E+07   0.841911E+07   0.841911E+07   0.000000E+00   0.631555E+07   0.631555E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.242295E-01
   0.119178E-04   0.631555E+07   0.631555E+07   0.841908E+07   0.841907E+07   0.000000E+00   0.631555E+07   0.631555E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.244730E-01
   0.120376E-04   0.631555E+07   0.631555E+07   0.841905E+07   0.841904E+07   0.000000E+00   0.631555E+07   0.631555E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.247190E-01
   0.121586E-04   0.631555E+07   0.631555E+07   0.841901E+07   0.841900E+07   0.000000E+00   0.631555E+07   0.631555E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.249674E-01
   0.122808E-04   0.631555E+07   0.631555E+07   0.841898E+07   0.841897E+07   0.000000E+00   0.631555E+07   0.631555E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.252183E-01
   0.124042E-04   0.631555E+07   0.631555E+07   0.841894E+07   0.841893E+07   0.000000E+00   0.631555E+07   0.631555E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.254717E-01
   0.125289E-04   0.631555E+07   0.631555E+07   0.841890E+07   0.841890E+07   0.000000E+00   0.631555E+07   0.631555E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.257277E-01
   0.126548E-04   0.631555E+07   0.631555E+07   0.841887E+07   0.841886E+07   0.000000E+00   0.631555E+07   0.631555E+07   0.632543E+07  -0.596584E+00   0.619744E+07   0.619744E+07   0.259863E-01
