#           k/h    P           
    0.20189E+00    0.30417E+00
    0.20277E+00    0.30099E+00
    0.20365E+00    0.29782E+00
    0.20454E+00    0.29467E+00
    0.20542E+00    0.29155E+00
    0.20630E+00    0.28847E+00
    0.20718E+00    0.28542E+00
    0.20991E+00    0.27633E+00
    0.21267E+00    0.26772E+00
    0.21547E+00    0.25972E+00
    0.21830E+00    0.25241E+00
    0.22118E+00    0.24583E+00
    0.22409E+00    0.23996E+00
    0.22703E+00    0.23476E+00
    0.23002E+00    0.23012E+00
    0.23305E+00    0.22591E+00
    0.23611E+00    0.22198E+00
    0.23922E+00    0.21816E+00
    0.24237E+00    0.21429E+00
    0.24556E+00    0.21025E+00
    0.24879E+00    0.20593E+00
    0.25206E+00    0.20129E+00
    0.25538E+00    0.19631E+00
    0.25874E+00    0.19104E+00
    0.26214E+00    0.18557E+00
    0.26559E+00    0.18002E+00
    0.26909E+00    0.17451E+00
    0.27263E+00    0.16917E+00
    0.27621E+00    0.16411E+00
    0.27985E+00    0.15942E+00
    0.28353E+00    0.15512E+00
    0.28726E+00    0.15123E+00
    0.29104E+00    0.14769E+00
    0.29487E+00    0.14444E+00
    0.29875E+00    0.14138E+00
    0.30268E+00    0.13840E+00
    0.30666E+00    0.13541E+00
    0.31070E+00    0.13233E+00
    0.31479E+00    0.12913E+00
    0.31893E+00    0.12579E+00
    0.32313E+00    0.12235E+00
    0.32738E+00    0.11885E+00
    0.33168E+00    0.11538E+00
    0.33605E+00    0.11200E+00
    0.34047E+00    0.10879E+00
    0.34495E+00    0.10577E+00
    0.34949E+00    0.10297E+00
    0.35409E+00    0.10036E+00
    0.35875E+00    0.97912E-01
    0.36347E+00    0.95568E-01
    0.36825E+00    0.93272E-01
    0.37309E+00    0.90977E-01
    0.37800E+00    0.88653E-01
    0.38298E+00    0.86293E-01
    0.38802E+00    0.83912E-01
    0.39312E+00    0.81541E-01
    0.39829E+00    0.79218E-01
    0.40354E+00    0.76979E-01
    0.40884E+00    0.74845E-01
    0.41422E+00    0.72825E-01
    0.41967E+00    0.70908E-01
    0.42520E+00    0.69072E-01
    0.43079E+00    0.67288E-01
    0.43646E+00    0.65531E-01
    0.44220E+00    0.63785E-01
    0.44802E+00    0.62045E-01
    0.45392E+00    0.60320E-01
    0.45989E+00    0.58624E-01
    0.46594E+00    0.56975E-01
    0.47207E+00    0.55385E-01
    0.47828E+00    0.53860E-01
    0.48457E+00    0.52395E-01
    0.49095E+00    0.50980E-01
    0.49741E+00    0.49601E-01
    0.50395E+00    0.48247E-01
    0.51059E+00    0.46915E-01
    0.51730E+00    0.45604E-01
    0.52411E+00    0.44321E-01
    0.53101E+00    0.43072E-01
    0.53799E+00    0.41863E-01
    0.54507E+00    0.40694E-01
    0.55224E+00    0.39563E-01
    0.55951E+00    0.38465E-01
    0.56687E+00    0.37392E-01
    0.57433E+00    0.36343E-01
    0.58189E+00    0.35317E-01
    0.58954E+00    0.34316E-01
    0.59730E+00    0.33342E-01
    0.60516E+00    0.32397E-01
    0.61312E+00    0.31480E-01
    0.62119E+00    0.30590E-01
    0.62936E+00    0.29723E-01
    0.67775E+00    0.25220E-01
    0.72986E+00    0.21374E-01
    0.78598E+00    0.18089E-01
    0.84641E+00    0.15290E-01
    0.91149E+00    0.12907E-01
    0.98157E+00    0.10884E-01
    0.10570E+01    0.91665E-02
    0.11383E+01    0.77117E-02
    0.12258E+01    0.64809E-02
    0.13201E+01    0.54408E-02
    0.14216E+01    0.45632E-02
    0.15309E+01    0.38233E-02
    0.16486E+01    0.32005E-02
    0.17753E+01    0.26767E-02
    0.19118E+01    0.22366E-02
    0.20588E+01    0.18673E-02
    0.22171E+01    0.15577E-02
    0.23876E+01    0.12984E-02
    0.25712E+01    0.10814E-02
    0.27689E+01    0.90004E-03
    0.29817E+01    0.74853E-03
    0.32110E+01    0.62207E-03
    0.34579E+01    0.51664E-03
    0.37237E+01    0.42879E-03
    0.40101E+01    0.35566E-03
    0.43184E+01    0.29481E-03
    0.46504E+01    0.24422E-03
    0.50080E+01    0.20219E-03
    0.53930E+01    0.16730E-03
    0.58076E+01    0.13836E-03
    0.62542E+01    0.11436E-03
    0.67350E+01    0.94473E-04
    0.72529E+01    0.78004E-04
    0.78105E+01    0.64374E-04
    0.84110E+01    0.53101E-04
    0.90577E+01    0.43781E-04
    0.97542E+01    0.36080E-04
    0.10504E+02    0.29720E-04
    0.11312E+02    0.24471E-04
    0.12181E+02    0.20140E-04
    0.13118E+02    0.16569E-04
    0.14127E+02    0.13625E-04
    0.15213E+02    0.11200E-04
    0.16382E+02    0.92035E-05
    0.17642E+02    0.75598E-05
    0.18999E+02    0.62073E-05
    0.20459E+02    0.50949E-05
    0.22032E+02    0.41805E-05
    0.23726E+02    0.34289E-05
    0.25550E+02    0.28116E-05
    0.27515E+02    0.23046E-05
    0.29631E+02    0.18884E-05
    0.31909E+02    0.15469E-05
    0.34362E+02    0.12667E-05
    0.37004E+02    0.10370E-05
    0.39849E+02    0.84865E-06
    0.42913E+02    0.69431E-06
