#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.811956E-02   0.213476E+06   0.208273E+06   0.127832E+05   0.163678E+05   0.708055E+05   0.207889E+06   0.212597E+06   0.208113E+06  -0.495490E+00   0.209375E+06   0.208216E+06   0.258162E+03
   0.821028E-02   0.212957E+06   0.207645E+06   0.122698E+05   0.160089E+05   0.695120E+05   0.207327E+06   0.212059E+06   0.207541E+06  -0.494017E+00   0.208810E+06   0.207628E+06   0.260264E+03
   0.830201E-02   0.212431E+06   0.207009E+06   0.118212E+05   0.156928E+05   0.682462E+05   0.206759E+06   0.211515E+06   0.206965E+06  -0.492536E+00   0.208237E+06   0.207033E+06   0.262373E+03
   0.839477E-02   0.211900E+06   0.206365E+06   0.114353E+05   0.154166E+05   0.670082E+05   0.206185E+06   0.210964E+06   0.206385E+06  -0.491046E+00   0.207658E+06   0.206431E+06   0.264489E+03
   0.848857E-02   0.211362E+06   0.205712E+06   0.111098E+05   0.151772E+05   0.657984E+05   0.205606E+06   0.210407E+06   0.205800E+06  -0.489548E+00   0.207073E+06   0.205822E+06   0.266613E+03
   0.858341E-02   0.210818E+06   0.205051E+06   0.108420E+05   0.149715E+05   0.646168E+05   0.205022E+06   0.209843E+06   0.205211E+06  -0.488041E+00   0.206482E+06   0.205206E+06   0.268743E+03
   0.867932E-02   0.210268E+06   0.204382E+06   0.106294E+05   0.147961E+05   0.634637E+05   0.204432E+06   0.209273E+06   0.204618E+06  -0.486525E+00   0.205884E+06   0.204584E+06   0.270880E+03
   0.877629E-02   0.209711E+06   0.203704E+06   0.104688E+05   0.146477E+05   0.623388E+05   0.203837E+06   0.208696E+06   0.204020E+06  -0.485002E+00   0.205281E+06   0.203955E+06   0.273023E+03
   0.887435E-02   0.209149E+06   0.203018E+06   0.103572E+05   0.145230E+05   0.612423E+05   0.203236E+06   0.208112E+06   0.203417E+06  -0.483469E+00   0.204670E+06   0.203320E+06   0.275173E+03
   0.897350E-02   0.208580E+06   0.202323E+06   0.102911E+05   0.144183E+05   0.601739E+05   0.202630E+06   0.207522E+06   0.202810E+06  -0.481929E+00   0.204054E+06   0.202678E+06   0.277329E+03
   0.907376E-02   0.208005E+06   0.201619E+06   0.102670E+05   0.143303E+05   0.591334E+05   0.202019E+06   0.206926E+06   0.202198E+06  -0.480379E+00   0.203432E+06   0.202029E+06   0.279491E+03
   0.917515E-02   0.207424E+06   0.200907E+06   0.102812E+05   0.142554E+05   0.581205E+05   0.201402E+06   0.206322E+06   0.201582E+06  -0.478822E+00   0.202803E+06   0.201374E+06   0.281659E+03
   0.927766E-02   0.206837E+06   0.200187E+06   0.103299E+05   0.141900E+05   0.571349E+05   0.200780E+06   0.205712E+06   0.200960E+06  -0.477255E+00   0.202168E+06   0.200712E+06   0.283832E+03
   0.938132E-02   0.206243E+06   0.199457E+06   0.104089E+05   0.141309E+05   0.561760E+05   0.200152E+06   0.205096E+06   0.200334E+06  -0.475680E+00   0.201528E+06   0.200044E+06   0.286011E+03
   0.948614E-02   0.205643E+06   0.198720E+06   0.105142E+05   0.140746E+05   0.552432E+05   0.199519E+06   0.204473E+06   0.199703E+06  -0.474096E+00   0.200881E+06   0.199369E+06   0.288195E+03
   0.959213E-02   0.205038E+06   0.197973E+06   0.106416E+05   0.140179E+05   0.543361E+05   0.198880E+06   0.203844E+06   0.199066E+06  -0.472504E+00   0.200228E+06   0.198688E+06   0.290383E+03
   0.969930E-02   0.204426E+06   0.197218E+06   0.107868E+05   0.139577E+05   0.534539E+05   0.198236E+06   0.203208E+06   0.198424E+06  -0.470902E+00   0.199570E+06   0.198000E+06   0.292576E+03
   0.980767E-02   0.203808E+06   0.196454E+06   0.109455E+05   0.138908E+05   0.525957E+05   0.197586E+06   0.202565E+06   0.197777E+06  -0.469291E+00   0.198905E+06   0.197306E+06   0.294773E+03
   0.991725E-02   0.203184E+06   0.195682E+06   0.111134E+05   0.138147E+05   0.517609E+05   0.196931E+06   0.201916E+06   0.197125E+06  -0.467671E+00   0.198235E+06   0.196606E+06   0.296974E+03
   0.100281E-01   0.202554E+06   0.194900E+06   0.112860E+05   0.137265E+05   0.509485E+05   0.196270E+06   0.201260E+06   0.196467E+06  -0.466042E+00   0.197558E+06   0.195899E+06   0.299179E+03
   0.101401E-01   0.201918E+06   0.194110E+06   0.114592E+05   0.136241E+05   0.501576E+05   0.195604E+06   0.200598E+06   0.195804E+06  -0.464403E+00   0.196876E+06   0.195186E+06   0.301387E+03
   0.102534E-01   0.201275E+06   0.193311E+06   0.116287E+05   0.135053E+05   0.493871E+05   0.194931E+06   0.199929E+06   0.195135E+06  -0.462754E+00   0.196189E+06   0.194467E+06   0.303598E+03
   0.103680E-01   0.200627E+06   0.192504E+06   0.117905E+05   0.133683E+05   0.486360E+05   0.194254E+06   0.199254E+06   0.194460E+06  -0.461094E+00   0.195495E+06   0.193742E+06   0.305812E+03
   0.104838E-01   0.199973E+06   0.191687E+06   0.119404E+05   0.132115E+05   0.479032E+05   0.193570E+06   0.198572E+06   0.193779E+06  -0.459425E+00   0.194796E+06   0.193010E+06   0.308028E+03
   0.106009E-01   0.199313E+06   0.190862E+06   0.120749E+05   0.130337E+05   0.471876E+05   0.192881E+06   0.197884E+06   0.193092E+06  -0.457745E+00   0.194091E+06   0.192272E+06   0.310245E+03
   0.107194E-01   0.198646E+06   0.190027E+06   0.121903E+05   0.128342E+05   0.464881E+05   0.192186E+06   0.197189E+06   0.192399E+06  -0.456054E+00   0.193381E+06   0.191528E+06   0.312464E+03
   0.108392E-01   0.197974E+06   0.189184E+06   0.122832E+05   0.126122E+05   0.458034E+05   0.191486E+06   0.196488E+06   0.191700E+06  -0.454353E+00   0.192665E+06   0.190778E+06   0.314684E+03
